doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
tt49-2026-ung-dung-cong-nghe-ai,data/ai-liem-chinh-hoc-thuat/tt49-2026-ung-dung-cong-nghe-ai.md,Thông tư 49/2026/TT-BGDĐT — Ứng dụng công nghệ và AI trong giáo dục đại học,https://luatvietnam.vn/giao-duc/thong-tu-49-2026-tt-bgddt-ung-dung-cong-nghe-trong-giao-duc-dai-hoc-va-nghe-nghiep-439350-d1.html,2026-09-19,"49/2026/TT-BGDĐT, ban hành 2026-06-30, hiệu lực 2026-08-15",public-source (van ban quy pham phap luat)
ueh-dao-van-ai-quy-dinh-chung,data/ai-liem-chinh-hoc-thuat/ueh-dao-van-ai-quy-dinh-chung.md,UEH — Quy định kiểm soát đạo văn và sử dụng AI: quy định chung,https://daotao.ueh.edu.vn/quy-dinh-ve-viec-kiem-soat-xu-ly-hanh-vi-dao-van-su-dung-tri-tue-nhan-tao-ai-trong-cac-san-pham-hoc-thuat-tai-dai-hoc-kinh-te-thanh-pho-ho-chi-minh/,2026-09-19,"4002/QĐ-ĐHKT-NCPTGKTC, ban hành 2025-12-18",public-source
ueh-xu-ly-vi-pham-nguoi-hoc,data/ai-liem-chinh-hoc-thuat/ueh-xu-ly-vi-pham-nguoi-hoc.md,UEH — Xử lý vi phạm đạo văn và sử dụng AI đối với người học,https://daotao.ueh.edu.vn/quy-dinh-ve-viec-kiem-soat-xu-ly-hanh-vi-dao-van-su-dung-tri-tue-nhan-tao-ai-trong-cac-san-pham-hoc-thuat-tai-dai-hoc-kinh-te-thanh-pho-ho-chi-minh/,2026-09-19,"4002/QĐ-ĐHKT-NCPTGKTC, ban hành 2025-12-18",public-source
ueh-xu-ly-vi-pham-giang-vien,data/ai-liem-chinh-hoc-thuat/ueh-xu-ly-vi-pham-giang-vien.md,"UEH — Xử lý vi phạm đạo văn và sử dụng AI đối với giảng viên, viên chức",https://daotao.ueh.edu.vn/quy-dinh-ve-viec-kiem-soat-xu-ly-hanh-vi-dao-van-su-dung-tri-tue-nhan-tao-ai-trong-cac-san-pham-hoc-thuat-tai-dai-hoc-kinh-te-thanh-pho-ho-chi-minh/,2026-09-19,"4002/QĐ-ĐHKT-NCPTGKTC, ban hành 2025-12-18",public-source
rmit-vn-academic-integrity-ai,data/ai-liem-chinh-hoc-thuat/rmit-vn-academic-integrity-ai.md,RMIT Vietnam — Academic integrity and appropriate use of AI (students),https://www.rmit.edu.vn/students/my-studies/assessment-and-results/academic-integrity,2026-09-19,not-stated,public-source
rmit-ai-acknowledgement-guide,data/ai-liem-chinh-hoc-thuat/rmit-ai-acknowledgement-guide.md,RMIT Library — Acknowledging the use of AI tools (students),https://rmit.libguides.com/referencing_AI_tools/acknowledging,2026-09-19,last-updated 2026-07-29,public-source
una-genai-policy-general,data/ai-liem-chinh-hoc-thuat/una-genai-policy-general.md,University of North Alabama — Generative AI Policy: general provisions and data privacy,https://www.una.edu/academics/generative-ai-policy.html,2026-09-19,not-stated,public-source
una-genai-policy-faculty,data/ai-liem-chinh-hoc-thuat/una-genai-policy-faculty.md,University of North Alabama — Generative AI Policy: faculty,https://www.una.edu/academics/generative-ai-policy.html,2026-09-19,not-stated,public-source
una-genai-policy-staff,data/ai-liem-chinh-hoc-thuat/una-genai-policy-staff.md,University of North Alabama — Generative AI Policy: staff,https://www.una.edu/academics/generative-ai-policy.html,2026-09-19,not-stated,public-source
una-genai-policy-students,data/ai-liem-chinh-hoc-thuat/una-genai-policy-students.md,University of North Alabama — Generative AI Policy: students and sample syllabus rules,https://www.una.edu/academics/generative-ai-policy.html,2026-09-19,not-stated,public-source
